iter	Passed	Remaining
0	1	280
1	3	392
2	6	441
3	9	444
4	11	451
5	13	451
6	16	455
7	19	467
8	22	476
9	25	476
10	27	477
11	30	475
12	32	473
13	35	474
14	38	475
15	41	474
16	43	472
17	46	469
18	49	471
19	52	476
20	55	474
21	58	474
22	61	472
23	64	472
24	67	474
25	71	475
26	73	473
27	76	470
28	79	467
29	82	465
30	85	464
31	88	462
32	90	459
33	93	457
34	96	454
35	99	454
36	102	451
37	105	449
38	108	446
39	110	443
40	113	440
41	116	439
42	119	437
43	122	434
44	125	431
45	128	431
46	132	430
47	135	427
48	137	425
49	140	422
50	143	419
51	147	418
52	150	416
53	152	413
54	155	410
55	158	407
56	161	405
57	164	403
58	167	401
59	170	398
60	173	395
61	176	392
62	179	389
63	181	386
64	185	385
65	188	383
66	191	379
67	194	377
68	197	374
69	200	372
70	203	369
71	205	366
72	208	363
73	212	361
74	214	358
75	217	355
76	221	353
77	223	350
78	226	346
79	229	343
80	231	340
81	235	338
82	238	335
83	240	332
84	243	329
85	246	326
86	249	323
87	252	321
88	255	318
89	258	315
90	260	312
91	263	309
92	266	306
93	269	304
94	273	301
95	275	298
96	278	295
97	281	292
98	284	290
99	287	287
100	290	284
101	292	281
102	295	278
103	299	276
104	301	273
105	304	270
106	307	267
107	309	264
108	312	261
109	315	258
110	318	255
111	321	252
112	323	249
113	326	246
114	329	243
115	332	240
116	335	237
117	338	234
118	340	231
119	343	228
120	346	226
121	349	223
122	352	220
123	355	217
124	357	214
125	362	212
126	365	210
127	368	207
128	372	204
129	375	202
130	378	199
131	381	196
132	384	193
133	387	190
134	389	187
135	392	184
136	395	182
137	398	179
138	401	176
139	403	173
140	406	170
141	409	167
142	411	164
143	414	161
144	417	158
145	419	155
146	422	152
147	426	149
148	428	146
149	431	143
150	433	140
151	436	137
152	439	135
153	442	132
154	445	129
155	447	126
156	450	123
157	452	120
158	455	117
159	458	114
160	461	111
161	463	108
162	466	105
163	468	102
164	471	100
165	474	97
166	477	94
167	480	91
168	482	88
169	485	85
170	488	82
171	491	79
172	493	77
173	496	74
174	498	71
175	500	68
176	503	65
177	505	62
178	507	59
179	509	56
180	512	53
181	514	50
182	516	47
183	519	45
184	521	42
185	523	39
186	525	36
187	528	33
188	530	30
189	532	28
190	535	25
191	538	22
192	540	19
193	542	16
194	544	13
195	546	11
196	549	8
197	551	5
198	553	2
199	556	0
