iter	Logloss
0	0.6852548122
1	0.6771860123
2	0.6697658896
3	0.6633695364
4	0.656535387
5	0.6495056152
6	0.6422644258
7	0.6351773143
8	0.6279765368
9	0.6215903759
10	0.6150511503
11	0.6083744764
12	0.6036123633
13	0.5975775719
14	0.591889441
15	0.5844578743
16	0.5785729289
17	0.5720999241
18	0.5659127831
19	0.5597556829
20	0.5547662377
21	0.548486948
22	0.5433592796
23	0.5386052132
24	0.5332235694
25	0.5280963778
26	0.525510788
27	0.5198599696
28	0.515783906
29	0.5111296177
30	0.5065947771
31	0.5021823049
32	0.4972334504
33	0.4928339124
34	0.4888465405
35	0.4836871624
36	0.4798707664
37	0.47578457
38	0.4718145728
39	0.4685012102
40	0.4652648568
41	0.4605987668
42	0.4566608071
43	0.453643024
44	0.4501760304
45	0.446541965
46	0.4433726072
47	0.4400954843
48	0.4356962442
49	0.4323731661
50	0.4286252856
51	0.4251962006
52	0.4225314856
53	0.4197185636
54	0.416770041
55	0.4139841795
56	0.4103378654
57	0.4073073864
58	0.4040121436
59	0.4011794627
60	0.3986366987
61	0.395891279
62	0.3935970068
63	0.3915991187
64	0.3891003728
65	0.3869669139
66	0.3842138648
67	0.3815964758
68	0.3790484071
69	0.3764082789
70	0.3743565679
71	0.3722712398
72	0.3703348935
73	0.3682656586
74	0.366012305
75	0.3638640046
76	0.3620296419
77	0.3603248
78	0.3583280146
79	0.3564766645
80	0.3541460037
81	0.3523856401
82	0.3505088091
83	0.348623693
84	0.3466694951
85	0.34512043
86	0.3432588875
87	0.341430217
88	0.3394628763
89	0.3377032876
90	0.335511744
91	0.3336514235
92	0.3319946527
93	0.3302204609
94	0.3287364542
95	0.3272032142
96	0.3261631727
97	0.3244401813
98	0.3222362101
99	0.3205447197
100	0.319068104
101	0.3176004291
102	0.3160743117
103	0.3148395121
104	0.3135108054
105	0.3122581542
106	0.3108329773
107	0.3100422919
108	0.3082325459
109	0.3066571355
110	0.3052103817
111	0.3042806089
112	0.3029408157
113	0.3020029068
114	0.300771445
115	0.2993841767
116	0.2984777689
117	0.2969564199
118	0.2958573401
119	0.2947113514
120	0.2940229475
121	0.2930187583
122	0.2918374538
123	0.2907719016
124	0.2897480726
125	0.288481921
126	0.2873627543
127	0.2864049673
128	0.2854261398
129	0.2839794755
130	0.283180505
131	0.2821108699
132	0.2810102403
133	0.2800373733
134	0.2788941264
135	0.2774925232
136	0.2762851715
137	0.2754922509
138	0.2745340765
139	0.2737688422
140	0.2727314234
141	0.2716518342
142	0.2710921466
143	0.2699287236
144	0.2692481875
145	0.2681607604
146	0.2671137154
147	0.2661114335
148	0.2651335001
149	0.2645286322
150	0.2634413838
151	0.2627511024
152	0.2618849277
153	0.2612733841
154	0.2607162893
