iter	Passed	Remaining
0	2	2789
1	5	2616
2	7	2518
3	10	2683
4	15	3027
5	17	2924
6	19	2796
7	22	2758
8	25	2757
9	27	2758
10	31	2838
11	34	2848
12	36	2772
13	39	2761
14	41	2732
15	44	2726
16	46	2689
17	48	2666
18	51	2642
19	53	2619
20	55	2606
21	58	2590
22	62	2643
23	64	2629
24	67	2622
25	69	2610
26	71	2565
27	73	2550
28	76	2553
29	78	2550
30	81	2534
31	83	2522
32	85	2512
33	88	2506
34	91	2529
35	94	2522
36	96	2511
37	99	2507
38	101	2497
39	103	2490
40	106	2496
41	109	2501
42	112	2494
43	114	2494
44	117	2490
45	119	2480
46	122	2479
47	125	2489
48	128	2484
49	131	2492
50	135	2518
51	138	2518
52	145	2603
53	149	2611
54	152	2623
55	156	2643
56	159	2644
57	162	2642
58	165	2633
59	167	2624
60	170	2620
61	172	2615
62	175	2610
63	178	2609
64	180	2601
65	183	2594
66	185	2587
67	188	2583
68	190	2574
69	193	2567
70	195	2560
71	198	2556
72	201	2554
73	203	2549
74	206	2542
75	208	2537
76	210	2526
77	213	2520
78	215	2515
79	218	2509
80	220	2503
81	223	2496
82	225	2492
83	227	2485
84	230	2480
85	233	2477
86	235	2471
87	238	2468
88	240	2464
89	243	2459
90	245	2454
91	248	2451
92	251	2452
93	253	2445
94	256	2439
95	258	2432
96	260	2425
97	263	2423
98	266	2425
99	268	2420
100	271	2414
101	273	2409
102	275	2402
103	278	2400
104	282	2407
105	285	2405
106	287	2401
107	289	2391
108	291	2385
109	294	2379
110	297	2381
111	299	2376
112	302	2372
113	304	2365
114	306	2360
115	309	2354
116	312	2355
117	314	2350
118	316	2343
119	318	2338
120	321	2333
121	323	2329
122	326	2326
123	328	2323
124	331	2323
125	334	2321
126	336	2316
127	339	2312
128	341	2307
129	344	2303
130	346	2300
131	349	2295
132	351	2290
133	353	2285
134	355	2279
135	358	2280
136	361	2276
137	363	2270
138	365	2265
139	368	2261
140	370	2257
141	372	2253
142	375	2251
143	378	2247
144	380	2242
145	382	2238
146	385	2234
147	387	2229
148	390	2228
149	392	2224
150	394	2220
151	397	2216
152	399	2212
153	402	2209
154	404	2207
155	407	2203
156	409	2199
157	412	2196
158	414	2191
159	416	2187
160	419	2183
161	421	2180
162	423	2176
163	426	2172
164	428	2168
165	430	2164
166	433	2160
167	435	2156
168	437	2153
169	440	2151
170	443	2149
171	445	2145
172	448	2141
173	451	2142
174	454	2140
175	456	2137
176	459	2134
177	461	2132
178	464	2128
179	467	2128
180	470	2127
181	472	2123
182	474	2119
183	477	2116
184	479	2113
185	482	2110
186	485	2108
187	487	2105
188	490	2102
189	492	2099
190	494	2096
191	497	2093
192	499	2089
193	502	2085
194	504	2082
195	507	2079
196	509	2075
197	511	2072
198	514	2070
199	516	2066
200	519	2063
201	521	2060
202	523	2056
203	526	2054
204	529	2051
205	531	2049
206	535	2052
207	538	2049
208	540	2046
209	543	2043
210	546	2045
211	549	2043
212	552	2040
213	554	2037
214	557	2034
215	559	2032
216	563	2032
217	565	2030
218	568	2027
219	570	2023
220	572	2019
221	575	2016
222	577	2013
223	580	2010
224	582	2006
225	584	2003
226	587	1999
227	589	1996
228	592	1995
229	595	1991
230	597	1988
231	599	1985
232	602	1982
233	604	1979
234	607	1976
235	609	1972
236	611	1969
237	613	1965
238	616	1962
239	618	1958
240	621	1955
241	623	1953
242	626	1950
243	629	1949
244	631	1946
245	633	1942
246	636	1940
247	640	1940
248	642	1938
249	644	1934
250	647	1931
251	649	1927
252	652	1925
253	655	1924
254	657	1921
255	659	1917
256	662	1914
257	664	1911
258	666	1907
259	668	1903
260	671	1901
261	673	1897
262	675	1893
263	677	1890
264	680	1887
265	682	1884
266	685	1881
267	687	1878
268	689	1874
269	691	1870
270	693	1866
271	695	1862
272	697	1858
273	700	1854
274	702	1851
275	704	1847
276	706	1843
277	708	1839
278	710	1835
279	712	1832
280	714	1828
281	717	1826
282	719	1823
283	722	1820
284	724	1817
285	726	1814
286	728	1810
287	730	1807
288	733	1804
289	735	1801
290	737	1797
291	740	1794
292	742	1791
293	744	1788
294	746	1784
295	749	1782
296	751	1779
297	754	1776
298	756	1774
299	759	1771
300	761	1767
301	763	1765
302	766	1763
303	768	1759
304	770	1756
305	772	1752
306	774	1748
307	776	1745
308	778	1741
309	781	1738
310	783	1735
311	785	1731
312	787	1728
313	789	1724
314	791	1720
315	793	1717
316	795	1714
317	797	1710
318	799	1706
319	801	1703
320	803	1700
321	805	1696
322	807	1693
323	810	1690
324	812	1687
325	815	1685
326	817	1682
327	819	1679
328	821	1676
329	824	1674
330	827	1671
331	829	1669
332	832	1668
333	835	1665
334	837	1662
335	839	1659
336	841	1656
337	844	1653
338	846	1650
339	848	1647
340	850	1644
341	853	1641
342	855	1638
343	857	1634
344	859	1632
345	861	1628
346	863	1625
347	865	1622
348	868	1619
349	870	1616
350	873	1615
351	876	1613
352	878	1611
353	881	1608
354	883	1605
355	886	1603
356	888	1600
357	891	1598
358	893	1595
359	895	1592
360	897	1589
361	900	1586
362	902	1584
363	905	1582
364	908	1579
365	910	1577
366	912	1574
367	915	1572
368	918	1570
369	920	1567
370	923	1565
371	925	1562
372	927	1559
373	929	1556
374	932	1554
375	935	1552
376	937	1549
377	940	1547
378	943	1545
379	945	1543
380	948	1541
381	950	1538
382	953	1536
383	956	1533
384	958	1530
385	960	1528
386	963	1525
387	965	1522
388	968	1520
389	970	1517
390	972	1515
391	974	1511
392	976	1508
393	978	1505
394	981	1502
395	983	1499
396	985	1497
397	987	1494
398	989	1491
399	992	1488
400	994	1485
401	996	1482
402	999	1480
403	1001	1477
404	1003	1474
405	1006	1472
406	1008	1469
407	1010	1466
408	1013	1464
409	1015	1462
410	1018	1459
411	1020	1456
412	1022	1453
413	1023	1449
414	1026	1446
415	1028	1443
416	1030	1441
417	1033	1438
418	1035	1436
419	1037	1433
420	1040	1430
421	1042	1427
422	1044	1425
423	1047	1422
424	1049	1419
425	1051	1417
426	1053	1414
427	1056	1411
428	1058	1408
429	1060	1406
430	1063	1403
431	1065	1400
432	1067	1398
433	1070	1395
434	1072	1392
435	1074	1389
436	1076	1387
437	1079	1384
438	1081	1381
439	1083	1379
440	1085	1376
441	1087	1372
442	1089	1370
443	1091	1367
444	1094	1365
445	1096	1362
446	1098	1359
447	1101	1356
448	1103	1353
449	1105	1350
450	1107	1347
451	1109	1345
452	1111	1342
453	1113	1339
